French,English
histoire,history
seulement,only
police,police
pensais,thought
genre,kind
mois,month
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
mari,husband
cause,cause
espère,hope
eau,water
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
